flower_name,target,sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),petal area (cm^2),sepal area (cm^2)
setosa,0,5.1,3.5,1.4,0.2,0.27999999999999997,17.849999999999998
setosa,0,4.9,3.0,1.4,0.2,0.27999999999999997,14.700000000000001
setosa,0,4.7,3.2,1.3,0.2,0.26,15.040000000000001
setosa,0,4.6,3.1,1.5,0.2,0.30000000000000004,14.26
setosa,0,5.0,3.6,1.4,0.2,0.27999999999999997,18.0
setosa,0,5.4,3.9,1.7,0.4,0.68,21.060000000000002
setosa,0,4.6,3.4,1.4,0.3,0.42,15.639999999999999
setosa,0,5.0,3.4,1.5,0.2,0.30000000000000004,17.0
setosa,0,4.4,2.9,1.4,0.2,0.27999999999999997,12.76
setosa,0,4.9,3.1,1.5,0.1,0.15000000000000002,15.190000000000001
setosa,0,5.4,3.7,1.5,0.2,0.30000000000000004,19.980000000000004
setosa,0,4.8,3.4,1.6,0.2,0.32000000000000006,16.32
setosa,0,4.8,3.0,1.4,0.1,0.13999999999999999,14.399999999999999
setosa,0,4.3,3.0,1.1,0.1,0.11000000000000001,12.899999999999999
setosa,0,5.8,4.0,1.2,0.2,0.24,23.2
setosa,0,5.7,4.4,1.5,0.4,0.6000000000000001,25.080000000000002
setosa,0,5.4,3.9,1.3,0.4,0.52,21.060000000000002
setosa,0,5.1,3.5,1.4,0.3,0.42,17.849999999999998
setosa,0,5.7,3.8,1.7,0.3,0.51,21.66
setosa,0,5.1,3.8,1.5,0.3,0.44999999999999996,19.38
setosa,0,5.4,3.4,1.7,0.2,0.34,18.36
setosa,0,5.1,3.7,1.5,0.4,0.6000000000000001,18.87
setosa,0,4.6,3.6,1.0,0.2,0.2,16.56
setosa,0,5.1,3.3,1.7,0.5,0.85,16.83
setosa,0,4.8,3.4,1.9,0.2,0.38,16.32
setosa,0,5.0,3.0,1.6,0.2,0.32000000000000006,15.0
setosa,0,5.0,3.4,1.6,0.4,0.6400000000000001,17.0
setosa,0,5.2,3.5,1.5,0.2,0.30000000000000004,18.2
setosa,0,5.2,3.4,1.4,0.2,0.27999999999999997,17.68
setosa,0,4.7,3.2,1.6,0.2,0.32000000000000006,15.040000000000001
setosa,0,4.8,3.1,1.6,0.2,0.32000000000000006,14.879999999999999
setosa,0,5.4,3.4,1.5,0.4,0.6000000000000001,18.36
setosa,0,5.2,4.1,1.5,0.1,0.15000000000000002,21.32
setosa,0,5.5,4.2,1.4,0.2,0.27999999999999997,23.1
setosa,0,4.9,3.1,1.5,0.2,0.30000000000000004,15.190000000000001
setosa,0,5.0,3.2,1.2,0.2,0.24,16.0
setosa,0,5.5,3.5,1.3,0.2,0.26,19.25
setosa,0,4.9,3.6,1.4,0.1,0.13999999999999999,17.64
setosa,0,4.4,3.0,1.3,0.2,0.26,13.200000000000001
setosa,0,5.1,3.4,1.5,0.2,0.30000000000000004,17.34
setosa,0,5.0,3.5,1.3,0.3,0.39,17.5
setosa,0,4.5,2.3,1.3,0.3,0.39,10.35
setosa,0,4.4,3.2,1.3,0.2,0.26,14.080000000000002
setosa,0,5.0,3.5,1.6,0.6,0.96,17.5
setosa,0,5.1,3.8,1.9,0.4,0.76,19.38
setosa,0,4.8,3.0,1.4,0.3,0.42,14.399999999999999
setosa,0,5.1,3.8,1.6,0.2,0.32000000000000006,19.38
setosa,0,4.6,3.2,1.4,0.2,0.27999999999999997,14.719999999999999
setosa,0,5.3,3.7,1.5,0.2,0.30000000000000004,19.61
setosa,0,5.0,3.3,1.4,0.2,0.27999999999999997,16.5
versicolor,1,7.0,3.2,4.7,1.4,6.58,22.400000000000002
versicolor,1,6.4,3.2,4.5,1.5,6.75,20.480000000000004
versicolor,1,6.9,3.1,4.9,1.5,7.3500000000000005,21.39
versicolor,1,5.5,2.3,4.0,1.3,5.2,12.649999999999999
versicolor,1,6.5,2.8,4.6,1.5,6.8999999999999995,18.2
versicolor,1,5.7,2.8,4.5,1.3,5.8500000000000005,15.959999999999999
versicolor,1,6.3,3.3,4.7,1.6,7.5200000000000005,20.79
versicolor,1,4.9,2.4,3.3,1.0,3.3,11.76
versicolor,1,6.6,2.9,4.6,1.3,5.9799999999999995,19.139999999999997
versicolor,1,5.2,2.7,3.9,1.4,5.46,14.040000000000001
versicolor,1,5.0,2.0,3.5,1.0,3.5,10.0
versicolor,1,5.9,3.0,4.2,1.5,6.300000000000001,17.700000000000003
versicolor,1,6.0,2.2,4.0,1.0,4.0,13.200000000000001
versicolor,1,6.1,2.9,4.7,1.4,6.58,17.689999999999998
versicolor,1,5.6,2.9,3.6,1.3,4.680000000000001,16.24
versicolor,1,6.7,3.1,4.4,1.4,6.16,20.77
versicolor,1,5.6,3.0,4.5,1.5,6.75,16.799999999999997
versicolor,1,5.8,2.7,4.1,1.0,4.1,15.66
versicolor,1,6.2,2.2,4.5,1.5,6.75,13.640000000000002
versicolor,1,5.6,2.5,3.9,1.1,4.29,14.0
versicolor,1,5.9,3.2,4.8,1.8,8.64,18.880000000000003
versicolor,1,6.1,2.8,4.0,1.3,5.2,17.08
versicolor,1,6.3,2.5,4.9,1.5,7.3500000000000005,15.75
versicolor,1,6.1,2.8,4.7,1.2,5.64,17.08
versicolor,1,6.4,2.9,4.3,1.3,5.59,18.56
versicolor,1,6.6,3.0,4.4,1.4,6.16,19.799999999999997
versicolor,1,6.8,2.8,4.8,1.4,6.72,19.04
versicolor,1,6.7,3.0,5.0,1.7,8.5,20.1
versicolor,1,6.0,2.9,4.5,1.5,6.75,17.4
versicolor,1,5.7,2.6,3.5,1.0,3.5,14.82
versicolor,1,5.5,2.4,3.8,1.1,4.18,13.2
versicolor,1,5.5,2.4,3.7,1.0,3.7,13.2
versicolor,1,5.8,2.7,3.9,1.2,4.68,15.66
versicolor,1,6.0,2.7,5.1,1.6,8.16,16.200000000000003
versicolor,1,5.4,3.0,4.5,1.5,6.75,16.200000000000003
versicolor,1,6.0,3.4,4.5,1.6,7.2,20.4
versicolor,1,6.7,3.1,4.7,1.5,7.050000000000001,20.77
versicolor,1,6.3,2.3,4.4,1.3,5.720000000000001,14.489999999999998
versicolor,1,5.6,3.0,4.1,1.3,5.33,16.799999999999997
versicolor,1,5.5,2.5,4.0,1.3,5.2,13.75
versicolor,1,5.5,2.6,4.4,1.2,5.28,14.3
versicolor,1,6.1,3.0,4.6,1.4,6.4399999999999995,18.299999999999997
versicolor,1,5.8,2.6,4.0,1.2,4.8,15.08
versicolor,1,5.0,2.3,3.3,1.0,3.3,11.5
versicolor,1,5.6,2.7,4.2,1.3,5.460000000000001,15.12
versicolor,1,5.7,3.0,4.2,1.2,5.04,17.1
versicolor,1,5.7,2.9,4.2,1.3,5.460000000000001,16.53
versicolor,1,6.2,2.9,4.3,1.3,5.59,17.98
versicolor,1,5.1,2.5,3.0,1.1,3.3000000000000003,12.75
versicolor,1,5.7,2.8,4.1,1.3,5.33,15.959999999999999
virginica,2,6.3,3.3,6.0,2.5,15.0,20.79
virginica,2,5.8,2.7,5.1,1.9,9.69,15.66
virginica,2,7.1,3.0,5.9,2.1,12.39,21.299999999999997
virginica,2,6.3,2.9,5.6,1.8,10.08,18.27
virginica,2,6.5,3.0,5.8,2.2,12.76,19.5
virginica,2,7.6,3.0,6.6,2.1,13.86,22.799999999999997
virginica,2,4.9,2.5,4.5,1.7,7.6499999999999995,12.25
virginica,2,7.3,2.9,6.3,1.8,11.34,21.169999999999998
virginica,2,6.7,2.5,5.8,1.8,10.44,16.75
virginica,2,7.2,3.6,6.1,2.5,15.25,25.92
virginica,2,6.5,3.2,5.1,2.0,10.2,20.8
virginica,2,6.4,2.7,5.3,1.9,10.069999999999999,17.28
virginica,2,6.8,3.0,5.5,2.1,11.55,20.4
virginica,2,5.7,2.5,5.0,2.0,10.0,14.25
virginica,2,5.8,2.8,5.1,2.4,12.239999999999998,16.24
virginica,2,6.4,3.2,5.3,2.3,12.19,20.480000000000004
virginica,2,6.5,3.0,5.5,1.8,9.9,19.5
virginica,2,7.7,3.8,6.7,2.2,14.740000000000002,29.259999999999998
virginica,2,7.7,2.6,6.9,2.3,15.87,20.02
virginica,2,6.0,2.2,5.0,1.5,7.5,13.200000000000001
virginica,2,6.9,3.2,5.7,2.3,13.11,22.080000000000002
virginica,2,5.6,2.8,4.9,2.0,9.8,15.679999999999998
virginica,2,7.7,2.8,6.7,2.0,13.4,21.56
virginica,2,6.3,2.7,4.9,1.8,8.82,17.01
virginica,2,6.7,3.3,5.7,2.1,11.97,22.11
virginica,2,7.2,3.2,6.0,1.8,10.8,23.040000000000003
virginica,2,6.2,2.8,4.8,1.8,8.64,17.36
virginica,2,6.1,3.0,4.9,1.8,8.82,18.299999999999997
virginica,2,6.4,2.8,5.6,2.1,11.76,17.919999999999998
virginica,2,7.2,3.0,5.8,1.6,9.28,21.6
virginica,2,7.4,2.8,6.1,1.9,11.589999999999998,20.72
virginica,2,7.9,3.8,6.4,2.0,12.8,30.02
virginica,2,6.4,2.8,5.6,2.2,12.32,17.919999999999998
virginica,2,6.3,2.8,5.1,1.5,7.6499999999999995,17.639999999999997
virginica,2,6.1,2.6,5.6,1.4,7.839999999999999,15.86
virginica,2,7.7,3.0,6.1,2.3,14.029999999999998,23.1
virginica,2,6.3,3.4,5.6,2.4,13.44,21.419999999999998
virginica,2,6.4,3.1,5.5,1.8,9.9,19.840000000000003
virginica,2,6.0,3.0,4.8,1.8,8.64,18.0
virginica,2,6.9,3.1,5.4,2.1,11.340000000000002,21.39
virginica,2,6.7,3.1,5.6,2.4,13.44,20.77
virginica,2,6.9,3.1,5.1,2.3,11.729999999999999,21.39
virginica,2,5.8,2.7,5.1,1.9,9.69,15.66
virginica,2,6.8,3.2,5.9,2.3,13.57,21.76
virginica,2,6.7,3.3,5.7,2.5,14.25,22.11
virginica,2,6.7,3.0,5.2,2.3,11.959999999999999,20.1
virginica,2,6.3,2.5,5.0,1.9,9.5,15.75
virginica,2,6.5,3.0,5.2,2.0,10.4,19.5
virginica,2,6.2,3.4,5.4,2.3,12.42,21.08
virginica,2,5.9,3.0,5.1,1.8,9.18,17.700000000000003
